"category_id","asin","Predicted","category_name"
170,"B07ZKZXM4B",1,"Kitchen & Dining"
170,"B00LBFWJB6",1,"Kitchen & Dining"
170,"B0BMGZWHFS",1,"Kitchen & Dining"
170,"B099ZSQNVC",1,"Kitchen & Dining"
170,"B07NQJ4XM6",1,"Kitchen & Dining"
170,"B015T5M9MC",1,"Kitchen & Dining"
170,"B00004OCNQ",1,"Kitchen & Dining"
170,"B09W98TKJX",1,"Kitchen & Dining"
170,"B01DEWZWDU",1,"Kitchen & Dining"
170,"B09GTVSP6F",1,"Kitchen & Dining"
170,"B0721PXRQQ",1,"Kitchen & Dining"
171,"B0C1MPDTG7",1,"Heating, Cooling & Air Quality"
172,"B098JD9BM8",1,"Kids' Home Store"
173,"B097YXVLRL",1,"Home Storage & Organization"
173,"B0B4Z845NT",1,"Home Storage & Organization"
173,"B0987W1QWB",1,"Home Storage & Organization"
173,"B09R4MS3ZW",1,"Home Storage & Organization"
173,"B08GYD2VMW",1,"Home Storage & Organization"
173,"B07B8P5GHM",1,"Home Storage & Organization"
